#Nucl_X Initial_stress Strength_excess Dc_0 Dc_Rate Seismic_Moment Ruptured_Area Rupture_velocity Stress_drop E_g E_r
1000. 0.05 0.01 0.1 0.0 0.99035E+18 0.80780E+08 0.32727E+04 0.56912E+07 0.53267E+14 0.33595E+14
1000. 0.05 0.01 0.1 0.03 0.12659E+18 0.16810E+08 0.27505E+04 0.87240E+07 0.12186E+14 0.48337E+13
1000. 0.05 0.01 0.1 0.06 0.39177E+17 0.50900E+07 0.34148E+04 0.19129E+08 0.69627E+13 0.45870E+13
1000. 0.05 0.01 0.1 0.09 0.31950E+17 0.38300E+07 0.35088E+04 0.22469E+08 0.66940E+13 0.43700E+13
1000. 0.05 0.01 0.1 0.12 0.28569E+17 0.32900E+07 0.35496E+04 0.24445E+08 0.65943E+13 0.41685E+13
1000. 0.05 0.01 0.1 0.15 0.26261E+17 0.29300E+07 0.35822E+04 0.25906E+08 0.64931E+13 0.39919E+13
1000. 0.05 0.01 0.2 0.0 0.29262E+17 0.39700E+07 0.33517E+04 0.22641E+08 0.70347E+13 0.31758E+13
1000. 0.05 0.01 0.2 0.03 0.24530E+17 0.29900E+07 0.34336E+04 0.26294E+08 0.68904E+13 0.30497E+13
1000. 0.05 0.01 0.2 0.06 0.22308E+17 0.26200E+07 0.34546E+04 0.28383E+08 0.68307E+13 0.29273E+13
1000. 0.05 0.01 0.2 0.09 0.20866E+17 0.23500E+07 0.34689E+04 0.29850E+08 0.67896E+13 0.28095E+13
1000. 0.05 0.01 0.2 0.12 0.19803E+17 0.21400E+07 0.34720E+04 0.30951E+08 0.67512E+13 0.26950E+13
1000. 0.05 0.01 0.2 0.15 0.18935E+17 0.20300E+07 0.34867E+04 0.31846E+08 0.66977E+13 0.25956E+13
1000. 0.05 0.01 0.3 0.0 0.17615E+17 0.19900E+07 0.33550E+04 0.32377E+08 0.68803E+13 0.19093E+13
1000. 0.05 0.01 0.3 0.03 0.16755E+17 0.18200E+07 0.33732E+04 0.33519E+08 0.68305E+13 0.18248E+13
1000. 0.05 0.01 0.3 0.06 0.16092E+17 0.17400E+07 0.34067E+04 0.34342E+08 0.67777E+13 0.17392E+13
1000. 0.05 0.01 0.3 0.09 0.15553E+17 0.16600E+07 0.34389E+04 0.34940E+08 0.67108E+13 0.16642E+13
1000. 0.05 0.01 0.3 0.12 0.15092E+17 0.16000E+07 0.34359E+04 0.35457E+08 0.66640E+13 0.15830E+13
1000. 0.05 0.01 0.3 0.15 0.14680E+17 0.15300E+07 0.34628E+04 0.35894E+08 0.66093E+13 0.15112E+13
1000. 0.05 0.01 0.4 0.0 0.13101E+17 0.14500E+07 0.34087E+04 0.36131E+08 0.63519E+13 0.94342E+12
1000. 0.05 0.01 0.4 0.03 0.12694E+17 0.13800E+07 0.34152E+04 0.36391E+08 0.62353E+13 0.88417E+12
1000. 0.05 0.01 0.4 0.06 0.12307E+17 0.13300E+07 0.34173E+04 0.36651E+08 0.61246E+13 0.82705E+12
1000. 0.05 0.01 0.4 0.09 0.11921E+17 0.12800E+07 0.34238E+04 0.36922E+08 0.60111E+13 0.77194E+12
1000. 0.05 0.01 0.4 0.12 0.11533E+17 0.12400E+07 0.34405E+04 0.37133E+08 0.58767E+13 0.72325E+12
1000. 0.05 0.01 0.4 0.15 0.11152E+17 0.12000E+07 0.34559E+04 0.37345E+08 0.57424E+13 0.67582E+12
1000. 0.05 0.01 0.5 0.0 0.88884E+16 0.10100E+07 0.35454E+04 0.37844E+08 0.49231E+13 0.26100E+12
1000. 0.05 0.01 0.5 0.03 0.85333E+16 0.96000E+06 0.35791E+04 0.37955E+08 0.47640E+13 0.22752E+12
